Date,Description,Amount,Type,Category
2026-01-02,UBR* TRIP BIRMINGHM 8.40,8.56,Expense,Travel
2026-01-01,CARD  PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-04,AMAZON UK ID3D REF WPH6F,24.99,Expense,Shopping
2026-01-04,CARD PAYMENT AMAZON GOX22I,23.91,Expense,Shopping
2026-01-04,AMAZON UK 8OKZ/LS,24.99,Expense,Shopping
2026-01-05,fPS ReNt To lANdLoRD,750.00,Expense,Rent
2026-01-01,CARD PMT NETFLIX,13.51,Expense,Entertainment
2026-01-05,FPS RENT TO LANDLORD/9P89,727.70,Expense,Rent
2026-01-05,FPS RENT TO LANDLORD/KZVH,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-01,CARD PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM *UK,13.25,Expense,Entertainment
2026-01-01,NETFL*IX LRDIHS GB,12.99,Expense,Entertainment
2026-01-04,Card Payment Amazon Kef82,24.99,Expense,Shopping
2026-01-03,starbucks leeds 303,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS* #,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM #7F6FD,13.41,Expense,Entertainment
2026-01-03,costa ldn,4.65,Expense,Food & Drink
2026-01-03,Starbucks #45848,4.52,Expense,Food & Drink
2026-01-01,NETFLIX CYH3F GB,12.99,Expense,Entertainment
2026-01-03,STARBUCKS #*3460 L,4.55,Expense,Food & Drink
2026-01-05,BANK  TRANSFER RENT,726.96,Expense,Rent
2026-01-02,UBR* TRIP LIVERPOOL 8.40,8.40,Expense,Travel
2026-01-02,UBER TRIP XYJO LIVERPOOL,8.40,Expense,Travel
2026-01-01,CARD PAYMENT NETFLIX,12.41,Expense,Entertainment
2026-01-04,AMZN MKTP UK *ZX9J,24.99,Expense,Shopping
2026-01-01,netflix.com *uk,12.99,Expense,Entertainment
2026-01-04,CARD PMT AMAZON NK,24.99,Expense,Shopping
2026-01-02,UBER  BV PPRAT0 SPYE9,8.29,Expense,Travel
2026-01-01,NETFLIX.COM WVBD4B,12.99,Expense,Entertainment
2026-01-06,EMP*LOYER  PAY EDHHJ,2500.00,Income,Salary
2026-01-05,RENT PMT,750.00,Expense,Rent
2026-01-03,COSTA LDN RR5,4.65,Expense,Food & Drink
2026-01-04,AMZN IMYN4U,24.99,Expense,Shopping
2026-01-06,BACS  CREDIT PAYROLL,2500.00,Income,Salary
2026-01-03,COSTA* #92570 BIRM 74V,4.65,Expense,Food & Drink
2026-01-03,CARD PAYMENT STARBUCKS 9972,4.65,Expense,Food & Drink
2026-01-01,NETFLIX ZY7EZ9 GB REF 3SAFY,13.18,Expense,Entertainment
2026-01-03,CoSTa MAnc 07288,4.65,Expense,Food & Drink
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-06,EMPLOYER PAY YQ6W TWHWH,2500.00,Income,Salary
2026-01-03,#4443  LDN,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-02,UBR* MANCHEST,8.40,Expense,Travel
2026-01-06,MKTGV SALARY,2500.00,Income,Salary
2026-01-03,COSTA  MANC 03029,4.77,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK,12.67,Expense,Entertainment
2026-01-02,UBER  TRIP 3M25A BIRMINGHM,8.40,Expense,Travel
2026-01-02,UBR* TRIP LIVERPOOL 8.40,8.40,Expense,Travel
2026-01-04,CARD PAYMENT AMAZON XJ0MQV,25.39,Expense,Shopping
2026-01-05,BANK TRF #5ZP7R RENT,751.69,Expense,Rent
2026-01-03,STARBUCKS STORE 52556 GLASGOW,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-04,card payment amazon xphx ref movs0,24.99,Expense,Shopping
2026-01-05,BANK TRANSFER RENT 62,750.00,Expense,Rent
2026-01-04,AMAZON UK 4M2E,24.99,Expense,Shopping
2026-01-06,BACS ESP7BM SALARY 122,2500.00,Income,Salary
2026-01-05,RENT KUUOY LANDLORD/MMU7,724.65,Expense,Rent
2026-01-05,STO  RENT PAYMENT,770.32,Expense,Rent
2026-01-03,STARBUCKS #15103 MCR,4.65,Expense,Food & Drink
2026-01-05,rent ridlo landlord,740.52,Expense,Rent
2026-01-04,CARD PAYMENT AMAZON IZX3H,24.99,Expense,Shopping
2026-01-05,RENT LF8A LANDLORD 474,747.06,Expense,Rent
2026-01-03,card pmt starbucks 77514,4.87,Expense,Food & Drink
2026-01-03,costa manc 03151,4.75,Expense,Food & Drink
2026-01-06,EMPLOYER PAY,2500.00,Income,Salary
2026-01-04,AMAZON  UK RTWLXD R6C2C,24.32,Expense,Shopping
2026-01-02,UBER BV XU8UU0,8.40,Expense,Travel
2026-01-02,UBR* LIVERPOOL TN,8.40,Expense,Travel
2026-01-05,RENT #0UCC LAN*DLORD,750.00,Expense,Rent
2026-01-06,BAcs  P2FM sALARY,2500.00,Income,Salary
2026-01-01,NETFLIX *7IYF GB,12.99,Expense,Entertainment
2026-01-05,BANK  TRANSFER* RENT,750.00,Expense,Rent
2026-01-06,SALARY  CR*EDIT 7AITMO,2500.00,Income,Salary
2026-01-04,AMAZON UK N8WWII,24.99,Expense,Shopping
2026-01-04,CARD  PAYMENT AMAZON CTZG4,24.99,Expense,Shopping
2026-01-04,CARD PAYMENT AMAZON IIYMYR,26.13,Expense,Shopping
2026-01-04,CARD PAYMENT AM*,24.99,Expense,Shopping
2026-01-04,AMAZON UK OK3QP 33,24.99,Expense,Shopping
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-06,bacs cvitw salary/y4,2500.00,Income,Salary
2026-01-03,COSTA LIV 99263,4.65,Expense,Food & Drink
2026-01-02,Ubr* Trip London 8.40,8.40,Expense,Travel
2026-01-04,AMAZON UK 7RRBE,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-06,BACS  CREDIT PAYROLL,2500.00,Income,Salary
2026-01-01,Netflix.Com *Uk,12.99,Expense,Entertainment
2026-01-01,NETFLIX L6TB GB/OZ6,12.99,Expense,Entertainment
2026-01-01,CARD PAYMENT NETFLIX,13.40,Expense,Entertainment
2026-01-03,POS TXN COSTA COFFEE* 545,4.65,Expense,Food & Drink
2026-01-06,SALARY CREDIT TOUHY,2500.00,Income,Salary
2026-01-01,CARD PAYMENT NETFLIX 6Z7W,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK,24.99,Expense,Shopping
2026-01-05,BANK TRF #6ULM9K RENT,750.00,Expense,Rent
2026-01-01,CAR*D PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-03,COSTA LIV 4499,4.65,Expense,Food & Drink
2026-01-06,EMPLOYER PAY VXJJ2,2500.00,Income,Salary
2026-01-03,cOsTA* 967 lIV/Ex6U,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM HB3VQ,12.99,Expense,Entertainment
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,13.61,Expense,Entertainment
2026-01-03,Pos  Starbucks #1312,4.65,Expense,Food & Drink
2026-01-02,UBER *TRIP BIRM,8.40,Expense,Travel
2026-01-04,AMZN MKTP UK *EF#46,25.98,Expense,Shopping
2026-01-03,COSTA* 078 BIRM,4.65,Expense,Food & Drink
2026-01-06,Salary Credit Bukd,2500.00,Income,Salary
2026-01-01,card payment,12.99,Expense,Entertainment
2026-01-04,amzn eu-uk awnytk,24.99,Expense,Shopping
2026-01-01,NETFLIX IER7U GB,12.99,Expense,Entertainment
2026-01-06,SALARY CREDIT C6K8 REF MPXKC,2500.00,Income,Salary
2026-01-01,NETFLIX.COM 1,12.99,Expense,Entertainment
2026-01-02,UBR* LIVERPOOL Q9TEA,8.40,Expense,Travel
2026-01-04,Amzn Mktp Uk *06Ft,24.99,Expense,Shopping
2026-01-04,AMAZON UK VSCYO,24.99,Expense,Shopping
2026-01-06,employer pay hr59 0i2fk,2500.00,Income,Salary
2026-01-02,UBER TRIP PJY93N BIRMINGHM,8.40,Expense,Travel
2026-01-03,sTARBUCKS  #2635 LEEDs,4.65,Expense,Food & Drink
2026-01-01,netflix.c,12.99,Expense,Entertainment
2026-01-05,BANK TRAN,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-01,Card  Payment,13.54,Expense,Entertainment
2026-01-03,STARBUCKS #7275 MCR,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK,13.33,Expense,Entertainment
2026-01-02,UBR* TRIP BIRMINGHM 8.40,8.40,Expense,Travel
2026-01-02,uber trip lbb4m manchest,8.37,Expense,Travel
2026-01-04,CArD pAYMENT AMAZON JZv9N,24.78,Expense,Shopping
2026-01-06,employer pay 1gaz5u,2500.00,Income,Salary
2026-01-05,BANK TRF 46W4J RENT/A2,750.00,Expense,Rent
2026-01-01,CARD PAYMENT NETFLIX/,12.99,Expense,Entertainment
2026-01-01,NETFLIX A877K G,12.99,Expense,Entertainment
2026-01-03,STARBUCKS GLASGOW 6761,4.69,Expense,Food & Drink
2026-01-06,PAYROLL 5EGVL,2500.00,Income,Salary
2026-01-02,UBR* TRIP BIRMINGHM 8.40,8.40,Expense,Travel
2026-01-05,BANK TRF 2B9IQ,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *TFEBE5,24.99,Expense,Shopping
2026-01-02,UBER BV IBJZ,8.40,Expense,Travel
2026-01-06,EMPLOYER PAY 9A1,2500.00,Income,Salary
2026-01-04,AMZN MKTP UK *62E52K 02,24.99,Expense,Shopping
2026-01-03,STARBUCKS STORE 14652 GLASGOW,4.47,Expense,Food & Drink
2026-01-03,POS TXN COSTA COFFEE 07478/5KV,4.65,Expense,Food & Drink
2026-01-01,CARD  PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-06,BACS VHU#4B SALARY,2500.00,Income,Salary
2026-01-05,BANK RENT,750.00,Expense,Rent
2026-01-04,AMAZON *UK Z83Y02,25.43,Expense,Shopping
2026-01-02,UBER TRIP MEIU LONDON,8.07,Expense,Travel
2026-01-06,EMPLOYER PAY DW5,2500.00,Income,Salary
2026-01-06,SALARY CRE,2500.00,Income,Salary
2026-01-03,POS  TXN COSTA COFFEE 61468,4.65,Expense,Food & Drink
2026-01-01,CA*RD  PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM 29U6,12.89,Expense,Entertainment
2026-01-04,Amzn  Mktp Uk *Pehc,24.99,Expense,Shopping
2026-01-03,STARBUCKS BHM 1325 REF 7KKG,4.65,Expense,Food & Drink
2026-01-06,BACS CREDIT PAYROL*,2500.00,Income,Salary
2026-01-05,BANK TRANSF,750.00,Expense,Rent
2026-01-03,STARBUCKS #2980 LEEDS,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *YIT2KO REF,24.99,Expense,Shopping
2026-01-04,amzn eu-uk kf#8m8,24.99,Expense,Shopping
2026-01-03,CARD PAYMENT STARBUCKS 91310,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *O#5URTX P9JY,24.99,Expense,Shopping
2026-01-03,STARBUCKS GLASGOW #04856,4.65,Expense,Food & Drink
2026-01-02,TRIP #97N6 LONDON,8.40,Expense,Travel
2026-01-03,COSTA COFFE,4.83,Expense,Food & Drink
2026-01-03,STARBUCKS BHM 058,4.69,Expense,Food & Drink
2026-01-04,CARD  PAYMENT AMAZON LD56R,24.99,Expense,Shopping
2026-01-04,amzn mktp uk *w6m9,26.08,Expense,Shopping
2026-01-01,NETFLIX.COM  3X799,12.99,Expense,Entertainment
2026-01-01,Card Payment Netflix Hh5,12.39,Expense,Entertainment
2026-01-02,UBER *TRIP,8.40,Expense,Travel
2026-01-01,NETFLIX.COM *UK REF T4UMK9,12.99,Expense,Entertainment
2026-01-03,COSTA COFFEE #01837,4.48,Expense,Food & Drink
2026-01-04,payment amazo,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM SG4OF,13.27,Expense,Entertainment
2026-01-01,CARD PAYMENT NETFLIX,12.66,Expense,Entertainment
2026-01-02,UBER *TRIP BIRMINGHM,8.15,Expense,Travel
2026-01-06,BACS WYQM* SALARY,2500.00,Income,Salary
2026-01-02,UBER  BV TOC1,8.40,Expense,Travel
2026-01-03,Starbucks Store 316 Liverpool,4.67,Expense,Food & Drink
2026-01-04,AMZN  MKTP UK *DLAX,24.99,Expense,Shopping
2026-01-02,UBR* LONDON LWN71E,8.40,Expense,Travel
2026-01-01,CARD PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-04,aMZN mkTP Uk,24.99,Expense,Shopping
2026-01-04,AMZN MKTP UK,24.45,Expense,Shopping
2026-01-01,NETFLIX.COM  *UK,12.99,Expense,Entertainment
2026-01-02,UBR* BIRMINGHM YZX70I Z9C6,8.40,Expense,Travel
2026-01-01,CARD PMT NETFLIX,12.58,Expense,Entertainment
2026-01-06,PAYROLL  WW5FK,2500.00,Income,Salary
2026-01-04,AMZN EU-UK 48*90,26.09,Expense,Shopping
2026-01-05,BANK TRA*NSFER RENT,782.18,Expense,Rent
2026-01-05,BANK TRF ZX8Y RENT,750.00,Expense,Rent
2026-01-03,STARBUC*KS MCR 713,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK 9197,12.99,Expense,Entertainment
2026-01-01,Netflix.Co*M 1Otkz,13.31,Expense,Entertainment
2026-01-03,Pos  Starbucks #909/Es,4.65,Expense,Food & Drink
2026-01-03,CARD PAYMENT STARBUCKS 45009,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS GLASGOW 1121,4.65,Expense,Food & Drink
2026-01-04,CARD PAYMENT AMAZON UZS9 REF VJ0P,24.99,Expense,Shopping
2026-01-06,Bacs Salary,2500.00,Income,Salary
2026-01-01,NETFLIX 3RTZ5T GB,13.08,Expense,Entertainment
2026-01-04,AMZN  MKTP UK *9ZIVZG,24.99,Expense,Shopping
2026-01-03,CARD PA*YMENT STARBUCKS 6914,4.65,Expense,Food & Drink
2026-01-01,NeTfLix.CoM 716gNE/It1,12.99,Expense,Entertainment
2026-01-04,Amazon Uk Pm5Hgb,24.99,Expense,Shopping
2026-01-06,SALARY CREDIT 2EMA,2500.00,Income,Salary
2026-01-04,AMAZON *UK 2D0VG4,24.99,Expense,Shopping
2026-01-06,PAY*ROLL  N7ZI6,2500.00,Income,Salary
2026-01-03,POS STARBUCKS #381,4.65,Expense,Food & Drink
2026-01-06,baCS CREDIt PAyroll/S82,2500.00,Income,Salary
2026-01-01,netflix xw8l gb,12.99,Expense,Entertainment
2026-01-03,COSTA* L,4.48,Expense,Food & Drink
2026-01-01,Netflix.Com *Uk,12.63,Expense,Entertainment
2026-01-05,FPS  rENT To LANDLorD,750.00,Expense,Rent
2026-01-02,UBR* TRIP LONDON 8.40,8.40,Expense,Travel
2026-01-06,EMPLOYER PAY DNH4NR,2500.00,Income,Salary
2026-01-02,UBER *TRIP LONDON 76,8.40,Expense,Travel
2026-01-02,Ubr* London N80Oco,8.12,Expense,Travel
2026-01-06,BACS PAYROLL,2500.00,Income,Salary
2026-01-03,STARBUCKS #4801,4.65,Expense,Food & Drink
2026-01-05,BANK  TRF KW7BZ RENT,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,12.45,Expense,Entertainment
2026-01-04,Card Payment Amazon 59B9C 1Hll,24.99,Expense,Shopping
2026-01-01,Card Payment Netflix,12.79,Expense,Entertainment
2026-01-04,AMZN  EU-UK YFZMYO,24.99,Expense,Shopping
2026-01-01,NETFLIX.cOM *UK,13.54,Expense,Entertainment
2026-01-06,BACS TFPK SALARY,2500.00,Income,Salary
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *AFN3,24.99,Expense,Shopping
2026-01-03,COSTA LDN #,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK 810,12.52,Expense,Entertainment
2026-01-01,NETFLIX R8MTK* GB,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK *VPUN,24.67,Expense,Shopping
2026-01-03,POS #8536,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS LDN 520,4.79,Expense,Food & Drink
2026-01-06,PAYROLL OULWO,2500.00,Income,Salary
2026-01-06,EMPLOYER PAY 5J2D8C,2500.00,Income,Salary
2026-01-06,baCS SALArY,2500.00,Income,Salary
2026-01-06,BACS KFL5 SALARY,2500.00,Income,Salary
2026-01-06,paYrolL BN7g,2500.00,Income,Salary
2026-01-06,Payroll  V0Dszr/6Fa,2500.00,Income,Salary
2026-01-05,RENT LANDLORD,750.00,Expense,Rent
2026-01-03,COSTA COFFEE #33592,4.65,Expense,Food & Drink
2026-01-06,BACS 8WXKK2 01,2500.00,Income,Salary
2026-01-03,POS STARBUCKS #53653,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS*  LEEDS 0816,4.45,Expense,Food & Drink
2026-01-02,bv 0*riy4k,8.39,Expense,Travel
2026-01-05,Fps Rent To Landlord,750.00,Expense,Rent
2026-01-06,bacs credit payroll,2500.00,Income,Salary
2026-01-01,card payment netflix,13.55,Expense,Entertainment
2026-01-04,AMZN  MKTP UK *2D50N9,24.97,Expense,Shopping
2026-01-01,nETFLIX F33GUW gB,12.99,Expense,Entertainment
2026-01-05,FPS  RENT TO LANDLORD/6U79,750.00,Expense,Rent
2026-01-04,Amzn Mktp Uk *K48Ab,24.99,Expense,Shopping
2026-01-05,STO RENT PAYMENT HZ364,750.00,Expense,Rent
2026-01-03,COSTA* #23819 LDN,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *PINXT,24.99,Expense,Shopping
2026-01-03,STARBUCKS* #5551 LEEDS,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK,12.98,Expense,Entertainment
2026-01-01,NETFLIX  XIXGSP GB,12.76,Expense,Entertainment
2026-01-04,AMZN EU-UK PKAVM9,24.99,Expense,Shopping
2026-01-04,AMAZON UK CC7ISU,26.17,Expense,Shopping
2026-01-06,BACS CUCNR SALARY,2500.00,Income,Salary
2026-01-05,RENT 5HGQGP LANDLORD REF IKM3MV,750.00,Expense,Rent
2026-01-06,sALArY CReDiT VYQLG0,2500.00,Income,Salary
2026-01-05,Rent Vb6T Landlord,750.00,Expense,Rent
2026-01-06,BACS CREDIT,2500.00,Income,Salary
2026-01-03,STARBUCKS #1872 LIVE,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *XGKIKR,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM IKS62C,13.15,Expense,Entertainment
2026-01-05,FPS RENT TO LANDLORD,714.00,Expense,Rent
2026-01-05,REN*T  BKAWY LANDLORD,750.00,Expense,Rent
2026-01-01,CARD PMT NETFLIX,12.99,Expense,Entertainment
2026-01-06,EMPLOYER PAY *I9OIN,2500.00,Income,Salary
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-03,STARBUCKS  LIVERPOOL 47532,4.65,Expense,Food & Drink
2026-01-04,CARD PAYMENT AMAZON QHL*09,24.62,Expense,Shopping
2026-01-01,Card Payment Netflix,12.99,Expense,Entertainment
2026-01-04,CARD  PAYMENT AMAZON HAIH7 4884Z,24.99,Expense,Shopping
2026-01-05,FPS RENT *TO LANDLORD,750.00,Expense,Rent
2026-01-05,BA*NK TRF G0XTD RENT,750.00,Expense,Rent
2026-01-01,Netflix Axoycg Gb,12.99,Expense,Entertainment
2026-01-03,STARBUCKS #723 LDN REF BZGFL,4.65,Expense,Food & Drink
2026-01-02,BV PXYKM8,8.07,Expense,Travel
2026-01-01,NETFLIX.COM *UK,13.60,Expense,Entertainment
2026-01-02,UBER TRIP PJUVF LONDON,8.40,Expense,Travel
2026-01-06,F5KCIH SALARY,2500.00,Income,Salary
2026-01-02,UBR* LIVERPOOL 1630P REF XEGH,8.40,Expense,Travel
2026-01-03,STARBUCKS STORE 6640 LDN,4.61,Expense,Food & Drink
2026-01-06,BACS CREDIT PAYROLL,2456.16,Income,Salary
2026-01-02,UBER TRIP 0TOGT LONDON,8.80,Expense,Travel
2026-01-06,BACS  70PA8 SALARY,2500.00,Income,Salary
2026-01-02,UBER BV YV6YJO,8.40,Expense,Travel
2026-01-03,POS TXN COSTA COFFEE 51,4.65,Expense,Food & Drink
2026-01-02,UBER *BV MP9A9U,8.40,Expense,Travel
2026-01-02,UBER TRIP 1WXYW MANCHESTER,8.40,Expense,Travel
2026-01-02,UBER *TRIP BIRMINGHM,8.40,Expense,Travel
2026-01-01,NETFLIX.COM 5G77LK,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM FJ31/2H,12.99,Expense,Entertainment
2026-01-03,TXN COSTA COFFEE 2285 X5RR,4.65,Expense,Food & Drink
2026-01-06,EMPLOYER PAY HXODLC,2500.00,Income,Salary
2026-01-05,BANK rENt,769.09,Expense,Rent
2026-01-02,*trip liverpool,8.40,Expense,Travel
2026-01-02,UBER BV HSLT,8.40,Expense,Travel
2026-01-03,COSTA* LIV,4.65,Expense,Food & Drink
2026-01-02,manchester l2lu,8.40,Expense,Travel
2026-01-01,Netflix.Com Cmtp,13.03,Expense,Entertainment
